epoch,train_loss,validation_loss,learning_rate
1,0.10419554880261421,0.0717887308448553,0.001
2,0.0788290063738823,0.07282319714625676,0.001
3,0.07709827398508787,0.06978619812677304,0.001
4,0.07599708026647568,0.07111159162595868,0.001
5,0.07509239786118269,0.06982556398337086,0.001
6,0.07446499295532703,0.07150781055291494,0.001
7,0.07391798961907625,0.06950803312162558,0.001
8,0.0733462434411049,0.0699980148114264,0.001
9,0.0730460528731346,0.06809354545548559,0.001
10,0.07288478883355856,0.06808513114228845,0.001
11,0.07267245334386825,0.07022698801010847,0.001
12,0.07152520993351937,0.0684270958416164,0.001
13,0.07152302399277687,0.06685098676631848,0.001
14,0.07195746724307538,0.06900251818199953,0.001
15,0.07058475595712661,0.06953519492720564,0.001
16,0.07066817619651557,0.06780623849481345,0.001
17,0.07031997822970151,0.06946664812664191,0.0005
18,0.068949717707932,0.06880218184863528,0.0005
19,0.06811828311532736,0.06848914107928673,0.0005
20,0.06770597939193249,0.06883096427967152,0.0005
21,0.06732315704971552,0.06903401312107842,0.00025
