================================================================================
EXTRACTION DU PREMIER POINT SAFRAN
================================================================================
Source : /home/lab-c0de80861d/climate_project/data/processed/safran_quot_clean.csv
Point sélectionné : LAMBX=600, LAMBY=24010
Destination : /home/lab-c0de80861d/climate_project/ndambo/data/processed/first_point_multivariate_daily.csv
Bloc 0001 | lignes lues=1,000,000 | lignes trouvées=181 | durée=1.0s
Bloc 0002 | lignes lues=2,000,000 | lignes trouvées=365 | durée=1.8s
Bloc 0003 | lignes lues=3,000,000 | lignes trouvées=365 | durée=2.7s
Bloc 0004 | lignes lues=4,000,000 | lignes trouvées=546 | durée=3.5s
Bloc 0005 | lignes lues=5,000,000 | lignes trouvées=546 | durée=4.3s
Bloc 0006 | lignes lues=6,000,000 | lignes trouvées=730 | durée=5.1s
Bloc 0007 | lignes lues=7,000,000 | lignes trouvées=730 | durée=5.9s
Bloc 0008 | lignes lues=8,000,000 | lignes trouvées=912 | durée=6.7s
Bloc 0009 | lignes lues=9,000,000 | lignes trouvées=912 | durée=7.5s
Bloc 0010 | lignes lues=10,000,000 | lignes trouvées=1,096 | durée=8.3s
Bloc 0011 | lignes lues=11,000,000 | lignes trouvées=1,277 | durée=9.1s
Bloc 0012 | lignes lues=12,000,000 | lignes trouvées=1,277 | durée=10.0s
Bloc 0013 | lignes lues=13,000,000 | lignes trouvées=1,461 | durée=10.8s
Bloc 0014 | lignes lues=14,000,000 | lignes trouvées=1,461 | durée=11.6s
Bloc 0015 | lignes lues=15,000,000 | lignes trouvées=1,642 | durée=12.4s
Bloc 0016 | lignes lues=16,000,000 | lignes trouvées=1,642 | durée=13.2s
Bloc 0017 | lignes lues=17,000,000 | lignes trouvées=1,826 | durée=14.0s
Bloc 0018 | lignes lues=18,000,000 | lignes trouvées=1,826 | durée=14.8s
Bloc 0019 | lignes lues=19,000,000 | lignes trouvées=2,007 | durée=15.6s
Bloc 0020 | lignes lues=20,000,000 | lignes trouvées=2,191 | durée=16.4s
Bloc 0021 | lignes lues=21,000,000 | lignes trouvées=2,191 | durée=17.2s
Bloc 0022 | lignes lues=22,000,000 | lignes trouvées=2,373 | durée=18.0s
Bloc 0023 | lignes lues=23,000,000 | lignes trouvées=2,373 | durée=18.8s
Bloc 0024 | lignes lues=24,000,000 | lignes trouvées=2,557 | durée=19.6s
Bloc 0025 | lignes lues=25,000,000 | lignes trouvées=2,557 | durée=20.4s
Bloc 0026 | lignes lues=26,000,000 | lignes trouvées=2,738 | durée=21.2s
Bloc 0027 | lignes lues=27,000,000 | lignes trouvées=2,738 | durée=22.0s
Bloc 0028 | lignes lues=28,000,000 | lignes trouvées=2,922 | durée=22.8s
Bloc 0029 | lignes lues=29,000,000 | lignes trouvées=3,103 | durée=23.6s
Bloc 0030 | lignes lues=30,000,000 | lignes trouvées=3,103 | durée=24.4s
