================================================================================
EXTRACTION DU PATCH SPATIAL SAFRAN 5 × 5
================================================================================
Centre : LAMBX=6440, LAMBY=22010
Coordonnées X : [6280, 6360, 6440, 6520, 6600]
Coordonnées Y : [21850, 21930, 22010, 22090, 22170]
Source : /home/lab-c0de80861d/climate_project/data/processed/safran_quot_clean.csv
Bloc 0001 | lignes lues=1,000,000 | lignes retenues=4,525 | durée=0.8s
Bloc 0002 | lignes lues=2,000,000 | lignes retenues=4,525 | durée=1.5s
Bloc 0003 | lignes lues=3,000,000 | lignes retenues=9,125 | durée=2.2s
Bloc 0004 | lignes lues=4,000,000 | lignes retenues=9,125 | durée=2.9s
Bloc 0005 | lignes lues=5,000,000 | lignes retenues=13,650 | durée=3.5s
Bloc 0006 | lignes lues=6,000,000 | lignes retenues=13,650 | durée=4.2s
Bloc 0007 | lignes lues=7,000,000 | lignes retenues=18,250 | durée=4.8s
Bloc 0008 | lignes lues=8,000,000 | lignes retenues=18,250 | durée=5.5s
Bloc 0009 | lignes lues=9,000,000 | lignes retenues=22,800 | durée=6.1s
Bloc 0010 | lignes lues=10,000,000 | lignes retenues=27,400 | durée=6.8s
Bloc 0011 | lignes lues=11,000,000 | lignes retenues=27,400 | durée=7.4s
Bloc 0012 | lignes lues=12,000,000 | lignes retenues=31,925 | durée=8.1s
Bloc 0013 | lignes lues=13,000,000 | lignes retenues=31,925 | durée=8.7s
Bloc 0014 | lignes lues=14,000,000 | lignes retenues=36,525 | durée=9.4s
Bloc 0015 | lignes lues=15,000,000 | lignes retenues=36,525 | durée=10.0s
Bloc 0016 | lignes lues=16,000,000 | lignes retenues=41,050 | durée=10.7s
Bloc 0017 | lignes lues=17,000,000 | lignes retenues=41,050 | durée=11.3s
Bloc 0018 | lignes lues=18,000,000 | lignes retenues=45,650 | durée=12.0s
Bloc 0019 | lignes lues=19,000,000 | lignes retenues=49,270 | durée=12.6s
Bloc 0020 | lignes lues=20,000,000 | lignes retenues=50,175 | durée=13.3s
Bloc 0021 | lignes lues=21,000,000 | lignes retenues=54,775 | durée=14.0s
Bloc 0022 | lignes lues=22,000,000 | lignes retenues=54,775 | durée=14.6s
Bloc 0023 | lignes lues=23,000,000 | lignes retenues=59,325 | durée=15.3s
Bloc 0024 | lignes lues=24,000,000 | lignes retenues=59,325 | durée=15.9s
Bloc 0025 | lignes lues=25,000,000 | lignes retenues=63,925 | durée=16.6s
Bloc 0026 | lignes lues=26,000,000 | lignes retenues=63,925 | durée=17.3s
Bloc 0027 | lignes lues=27,000,000 | lignes retenues=68,450 | durée=17.9s
Bloc 0028 | lignes lues=28,000,000 | lignes retenues=71,210 | durée=18.6s
Bloc 0029 | lignes lues=29,000,000 | lignes retenues=73,050 | durée=19.2s
Bloc 0030 | lignes lues=30,000,000 | lignes retenues=77,575 | durée=19.9s
Bloc 0031 | lignes lues=31,000,000 | lignes retenues=77,575 | durée=20.5s
Bloc 0032 | lignes lues=32,000,000 | lignes retenues=82,175 | durée=21.2s
Bloc 0033 | lignes lues=33,000,000 | lignes retenues=82,175 | durée=21.8s
Bloc 0034 | lignes lues=34,000,000 | lignes retenues=86,700 | durée=22.5s
Bloc 0035 | lignes lues=35,000,000 | lignes retenues=86,700 | durée=23.2s
Bloc 0036 | lignes lues=36,000,000 | lignes retenues=91,300 | durée=23.8s
Bloc 0037 | lignes lues=37,000,000 | lignes retenues=92,205 | durée=24.5s
Bloc 0038 | lignes lues=38,000,000 | lignes retenues=95,825 | durée=25.2s
Bloc 0039 | lignes lues=39,000,000 | lignes retenues=100,425 | durée=25.8s
Bloc 0040 | lignes lues=40,000,000 | lignes retenues=100,425 | durée=26.5s
Bloc 0041 | lignes lues=41,000,000 | lignes retenues=104,950 | durée=27.1s
Bloc 0042 | lignes lues=42,000,000 | lignes retenues=104,950 | durée=27.7s
Bloc 0043 | lignes lues=43,000,000 | lignes retenues=109,550 | durée=28.4s
Bloc 0044 | lignes lues=44,000,000 | lignes retenues=109,550 | durée=29.1s
Bloc 0045 | lignes lues=45,000,000 | lignes retenues=114,100 | durée=29.7s
Bloc 0046 | lignes lues=46,000,000 | lignes retenues=114,100 | durée=30.4s
Bloc 0047 | lignes lues=47,000,000 | lignes retenues=118,700 | durée=31.0s
Bloc 0048 | lignes lues=48,000,000 | lignes retenues=123,225 | durée=31.7s
Bloc 0049 | lignes lues=49,000,000 | lignes retenues=123,225 | durée=32.4s
Bloc 0050 | lignes lues=50,000,000 | lignes retenues=127,825 | durée=33.0s
Bloc 0051 | lignes lues=51,000,000 | lignes retenues=127,825 | durée=33.7s
Bloc 0052 | lignes lues=52,000,000 | lignes retenues=132,350 | durée=34.4s
Bloc 0053 | lignes lues=53,000,000 | lignes retenues=132,350 | durée=35.1s
Bloc 0054 | lignes lues=54,000,000 | lignes retenues=136,950 | durée=35.7s
Bloc 0055 | lignes lues=55,000,000 | lignes retenues=136,950 | durée=36.4s
Bloc 0056 | lignes lues=56,000,000 | lignes retenues=141,475 | durée=37.0s
Bloc 0057 | lignes lues=57,000,000 | lignes retenues=146,075 | durée=37.7s
Bloc 0058 | lignes lues=58,000,000 | lignes retenues=146,075 | durée=38.3s
Bloc 0059 | lignes lues=59,000,000 | lignes retenues=150,625 | durée=39.0s
