center_index,LAMBX,LAMBY,persistence_MAE_C,persistence_RMSE_C,MAE_1x1,RMSE_1x1,BIAS_1x1,R2_1x1,MAE_gain_1x1,RMSE_gain_1x1,MAE_5x5,RMSE_5x5,BIAS_5x5,R2_5x5,MAE_gain_5x5,RMSE_gain_5x5,existing_cells_5x5,complete_5x5,MAE_delta_5x5_minus_1x1,RMSE_delta_5x5_minus_1x1,five_x_five_better_MAE,five_x_five_better_RMSE,not_improved_1x1,not_improved_5x5
0,600,24010,1.2251156568527222,1.6149524450302124,1.0880905389785769,1.4372200965881348,-0.1443194895982742,0.873595654964447,11.184667921570613,11.005423038246343,1.179852650630926,1.5449099139129625,-0.1831778350745385,0.8539432364590365,3.694592413720039,4.337120276546699,5,False,0.09176211165234904,0.10768981732482774,False,False,False,False
1,760,23610,1.226549506187439,1.6155580282211304,1.0837723016738892,1.4047982692718506,-0.1314451396465301,0.8944843411445618,11.640557824474056,13.045632237756546,1.1478250240639996,1.4867260836131306,-0.1003414876586744,0.8818182104917229,6.418364917171265,7.974455000406674,6,False,0.0640527223901104,0.08192781434128005,False,False,False,False
2,760,23930,1.2370953559875488,1.628569483757019,1.0931880474090576,1.417191505432129,-0.1378617137670517,0.8932541012763977,11.632677132120737,12.979365046018971,1.1093727838761491,1.4450944593888266,-0.1462867253362636,0.8890092918280262,10.324376469933688,11.266023457826352,13,False,0.01618473646709151,0.02790295395669773,False,False,False,False
3,760,24010,1.2096208333969116,1.596506953239441,1.078491449356079,1.420257568359375,-0.1272331774234771,0.8765406608581543,10.840536176331312,11.039687896281425,1.0452471652811706,1.3746486552100634,-0.1009500170062803,0.8843426607273069,13.588847771232697,13.896482215512394,15,False,-0.03324428407490854,-0.04560891314931159,True,True,False,False
4,760,24090,1.2128121852874756,1.6006141901016235,1.0804911851882937,1.4250993728637695,-0.1332757622003555,0.8756366968154907,10.910263081485926,10.96546677664469,1.0474781244579672,1.374738657333158,-0.0990066422454523,0.8842710341124986,13.632290416638376,14.111802086563108,14,False,-0.033013060730326504,-0.05036071553061161,True,True,False,False
5,760,24170,1.2209527492523191,1.6099438667297363,1.088908314704895,1.4340753555297852,-0.1416349858045578,0.8741133809089661,10.81486852200341,10.923890878083297,1.1046081175967348,1.4293935625963383,-0.0816337521929745,0.8749340163651789,9.529008341482978,11.214701201083477,11,False,0.01569980289183981,-0.004681792933446838,False,True,False,False
6,840,23530,1.2434320449829102,1.6361788511276243,1.0993090867996216,1.423426389694214,-0.1412096917629242,0.8926441669464111,11.590738614531157,13.003007665499744,1.1245974135773806,1.4564969469424025,-0.1822054436866273,0.8875977623565134,9.556989927162224,10.98180455469391,10,False,0.02528832677775905,0.033070557248188415,False,False,False,False
7,840,23610,1.2120721340179443,1.5994086265563965,1.0682467222213743,1.3877556324005127,-0.1207197457551956,0.8960872888565063,11.866076923969654,13.233203237848157,1.081705684467778,1.4064320510243298,-0.1439115310795984,0.8932713404700967,10.755671232630403,12.065498605046631,11,False,0.013458962246403638,0.01867641862381708,False,False,False,False
8,840,23850,1.2370953559875488,1.628569483757019,1.0931880474090576,1.417191505432129,-0.1378617137670517,0.8932541012763977,11.632677132120737,12.979365046018971,1.1213585838579008,1.4477106367426995,0.1026418705321813,0.8886070562270016,9.355510005484502,11.105380796413824,14,False,0.028170536448843153,0.030519131310570602,False,False,False,False
9,840,23930,1.229047179222107,1.6197069883346558,1.0875017642974854,1.40907883644104,-0.1332110911607742,0.8940902948379517,11.516678718078913,13.004089839124456,1.0941962313585871,1.420447287452023,-0.0084604286243251,0.8923744791183349,10.971990497562045,12.302203648927716,17,False,0.006694467061101772,0.01136845101098305,False,False,False,False
10,840,24010,1.316142439842224,1.7211947441101074,1.1398704051971436,1.4921929836273191,-0.1307325661182403,0.8840936422348022,13.393081881487811,13.304814069786543,1.1706174555804088,1.5071122912374444,0.091479230875444,0.8817643381317258,11.0569403432225,12.438015335175098,19,False,0.030747050383265195,0.014919307610125276,False,False,False,False
11,840,24090,1.2071692943572998,1.5951403379440308,1.075025200843811,1.4183937311172483,-0.1178242117166519,0.8770539164543152,10.946608245518922,11.080317049382009,1.0774286218973137,1.398206935349082,-0.0306924260622036,0.8805285526786409,10.747514022984122,12.34583594352951,18,False,0.0024034210535026634,-0.020186795768166288,False,True,False,False
