center_index,LAMBX,LAMBY,existing_cells_5x5,complete_5x5,persistence_MAE_C,persistence_RMSE_C,convlstm_MAE_C,convlstm_RMSE_C,convlstm_BIAS_C,convlstm_R2,MAE_improvement_percent,RMSE_improvement_percent
0,600,24010,5,False,1.2251156816650164,1.614952339276279,1.1798526506309261,1.5449099139129623,-0.18317783507453855,0.8539432364590365,3.694592413720039,4.337120276546699
1,760,23610,6,False,1.2265494432193498,1.6155580318700646,1.1478250240639996,1.4867260836131306,-0.10034148765867447,0.8818182104917229,6.418364917171265,7.974455000406674
2,760,23930,13,False,1.2370951438148632,1.6285694789098057,1.1093727838761491,1.4450944593888266,-0.14628672533626363,0.8890092918280262,10.324376469933688,11.266023457826353
3,760,24010,15,False,1.209620677796257,1.596506961133381,1.0452471652811706,1.3746486552100634,-0.10095001700628035,0.8843426607273069,13.588847771232695,13.896482215512394
4,760,24090,14,False,1.212812206681187,1.6006141597227355,1.0474781244579672,1.374738657333158,-0.09900664224545234,0.8842710341124986,13.632290416638376,14.111802086563108
5,760,24170,11,False,1.2209528129923466,1.6099439681266035,1.1046081175967348,1.4293935625963383,-0.08163375219297453,0.8749340163651789,9.529008341482978,11.214701201083475
6,840,23530,10,False,1.24343209350473,1.636178917867744,1.1245974135773806,1.4564969469424025,-0.18220544368662733,0.8875977623565134,9.556989927162224,10.98180455469391
7,840,23610,11,False,1.212072183642533,1.5994086834101797,1.081705684467778,1.4064320510243298,-0.14391153107959842,0.8932713404700967,10.755671232630403,12.065498605046633
8,840,23850,14,False,1.2370951438148632,1.6285694789098057,1.1213585838579008,1.4477106367426995,0.10264187053218139,0.8886070562270016,9.355510005484502,11.105380796413824
9,840,23930,17,False,1.2290471700691272,1.6197069328466145,1.0941962313585873,1.420447287452023,-0.008460428624325169,0.8923744791183349,10.971990497562045,12.302203648927717
10,840,24010,19,False,1.3161425524349017,1.7211947593541428,1.1706174555804088,1.5071122912374444,0.09147923087544402,0.8817643381317258,11.0569403432225,12.438015335175098
11,840,24090,18,False,1.2071693131043666,1.595140345469838,1.0774286218973137,1.398206935349082,-0.03069242606220369,0.8805285526786409,10.747514022984122,12.34583594352951
12,840,24170,14,False,1.210915910436752,1.59761322694453,1.0769209672079165,1.3966485684474057,-0.0011708015208989795,0.8806413124763421,11.065586146316821,12.579055750650836
13,920,23530,15,False,1.2265494432193498,1.6163165477564228,1.0836309667652564,1.4095947964071853,-0.1526585057529446,0.8938418841231364,11.652076257029826,12.78968229559883
14,920,23610,16,False,1.2063830267158953,1.5943905372712166,1.058064766882968,1.3816814012974337,-0.14702026056647852,0.8966768491096011,12.294458438850075,13.34109372838053
15,920,23770,19,False,1.2338575350808172,1.6237568707837282,1.1170613432680425,1.4423925885692146,-0.07943347733292064,0.8892773335405508,9.465938205347554,11.169423543499814
16,920,23850,19,False,1.2198427396169094,1.6094841790767462,1.0881536873703639,1.413682971177966,-0.024296450019434136,0.8927236118159507,10.795576181229912,12.16546334808326
17,920,23930,22,False,1.2346900989345442,1.6261990528437333,1.0984122093687667,1.4343929690436763,-0.18110836357236682,0.8905260218982709,11.037416569823979,11.794748217608777
18,920,24010,24,False,1.3213691746714378,1.7259514521875383,1.1448788567895034,1.4845527808799364,-0.010145393816218345,0.8854918650441571,13.356624421469434,13.986411437102928
19,920,24090,23,False,1.3121183397150171,1.7180141109028249,1.1406890346869398,1.4833950615367377,-0.12489629387304145,0.88533548698104,13.065079561749783,13.65640991404859
20,920,24170,18,False,1.210268280001066,1.5972368329299056,1.0673001948382213,1.3972304664720965,-0.26254553005278497,0.8805210442837828,11.812925078290808,12.522023179926652
21,920,24250,13,False,1.2200277294967043,1.608535599363996,1.1013287342223275,1.4255091879083486,-0.05676565955459355,0.8756199657709469,9.729204706137585,11.378449536834301
22,1000,23290,9,False,1.24343209350473,1.636178917867744,1.1031713494539923,1.4363802955609897,-0.11704585510310368,0.8906812449031027,11.28012899002789,12.21129426157931
23,1000,23370,14,False,1.2338575350808172,1.6237568707837282,1.0783281211606006,1.4059694047664262,0.04580682124615157,0.8947986502472842,12.605135479440053,13.412566249045891
24,1000,23450,19,False,1.2259943535987368,1.6162965401224636,1.0908083002618019,1.4175721644185668,-0.08563288530743199,0.8926134506805345,11.026645672560804,12.295044304731348
25,1000,23530,19,False,1.3944496345343576,1.819574425774178,1.1749769170233544,1.5272872121096008,-0.05719676004528007,0.8987354362393376,15.739020763147945,16.063493173147734
26,1000,23610,20,False,1.2055041571660354,1.5938640176663585,1.0665944793729403,1.389226867475377,-0.1763084581006356,0.8954898357769518,11.522953029017467,12.83905953850437
27,1000,23690,22,False,1.2333024101716077,1.6236286602675407,1.1161933920098939,1.447106101771088,-0.17331790482964812,0.8885160675273964,9.495563877590955,10.872101658230486
28,1000,23770,22,False,1.2333024101716077,1.6236286602675407,1.1080286130102335,1.4368500961297546,-0.17482294934861203,0.8900906972361948,10.15758958453207,11.503773535693123
29,1000,23850,22,False,1.2196576791599214,1.6074424705792274,1.0864296277070022,1.414668867804746,-0.11913303265849493,0.8924896627100463,10.923397091607235,11.992566222604351
30,1000,23930,24,False,1.2225717126385798,1.611275067324047,1.083974275403724,1.4135565820553149,-0.12218035293000369,0.892980620435476,11.336548670485092,12.27093308140717
31,1000,24010,25,True,1.3210453523958754,1.7266976064141446,1.1492588209069294,1.4893883445779592,-0.07760572477582425,0.8847240432686615,13.003833000690728,13.743533375772069
32,1000,24090,24,False,1.3125809449823116,1.7166190031665276,1.142977041408599,1.4839597400045708,-0.07804876780973112,0.885284338425498,12.921405283389838,13.553343096679374
