center_index,LAMBX,LAMBY,persistence_MAE_C,persistence_RMSE_C,convlstm_MAE_C,convlstm_RMSE_C,convlstm_BIAS_C,convlstm_R2,MAE_improvement_percent,RMSE_improvement_percent
0,600,24010,1.2251156568527222,1.6149524450302124,1.0880905389785767,1.4372200965881348,-0.14431948959827423,0.873595654964447,11.184667921570611,11.005423038246345
1,760,23610,1.226549506187439,1.6155580282211304,1.0837723016738892,1.4047982692718506,-0.13144513964653015,0.8944843411445618,11.640557824474055,13.045632237756546
2,760,23930,1.2370953559875488,1.628569483757019,1.0931880474090576,1.417191505432129,-0.1378617137670517,0.8932541012763977,11.632677132120737,12.979365046018971
3,760,24010,1.2096208333969116,1.596506953239441,1.078491449356079,1.420257568359375,-0.12723317742347717,0.8765406608581543,10.840536176331312,11.039687896281425
4,760,24090,1.2128121852874756,1.6006141901016235,1.0804911851882935,1.4250993728637695,-0.13327576220035553,0.8756366968154907,10.910263081485926,10.96546677664469
5,760,24170,1.2209527492523193,1.6099438667297363,1.088908314704895,1.4340753555297852,-0.1416349858045578,0.8741133809089661,10.81486852200341,10.923890878083297
6,840,23530,1.2434320449829102,1.6361788511276245,1.0993090867996216,1.4234263896942139,-0.1412096917629242,0.8926441669464111,11.590738614531155,13.003007665499743
7,840,23610,1.2120721340179443,1.5994086265563965,1.0682467222213745,1.3877556324005127,-0.12071974575519562,0.8960872888565063,11.866076923969654,13.233203237848157
8,840,23850,1.2370953559875488,1.628569483757019,1.0931880474090576,1.417191505432129,-0.1378617137670517,0.8932541012763977,11.632677132120737,12.979365046018971
9,840,23930,1.229047179222107,1.6197069883346558,1.0875017642974854,1.40907883644104,-0.13321109116077423,0.8940902948379517,11.516678718078913,13.004089839124457
10,840,24010,1.3161424398422241,1.7211947441101074,1.1398704051971436,1.4921929836273193,-0.13073256611824036,0.8840936422348022,13.393081881487813,13.304814069786545
11,840,24090,1.2071692943572998,1.5951403379440308,1.075025200843811,1.4183937311172485,-0.11782421171665192,0.8770539164543152,10.946608245518922,11.080317049382009
12,840,24170,1.2109158039093018,1.5976132154464722,1.076708197593689,1.4179412126541138,-0.12773366272449493,0.8769741654396057,11.083149289351006,11.246276699216393
13,920,23530,1.2265496253967285,1.6163164377212524,1.083320140838623,1.4058864116668701,-0.13209737837314606,0.8943997025489807,11.677430867240922,13.019110685470414
14,920,23610,1.2063831090927124,1.594390630722046,1.0659596920013428,1.3855634927749634,-0.11725904047489166,0.8960953950881958,11.640035079484678,13.097614469329372
15,920,23770,1.2338576316833496,1.6237568855285645,1.0887418985366821,1.4105371236801147,-0.1361626237630844,0.8941139578819275,11.761140784831582,13.13126144367619
16,920,23850,1.2198426723480225,1.6094841957092285,1.077439546585083,1.3975220918655396,-0.1261046677827835,0.8951622247695923,11.673892788881851,13.169567269362757
17,920,23930,1.2346900701522827,1.6261991262435913,1.0920140743255615,1.41523277759552,-0.13702301681041718,0.8934310674667358,11.555612155293675,12.972971467239017
18,920,24010,1.3213690519332886,1.7259514331817627,1.1445211172103882,1.49823796749115,-0.13629812002182007,0.8833708763122559,13.383689777216672,13.19350367065815
19,920,24090,1.312118411064148,1.718014121055603,1.1385009288787842,1.4924737215042114,-0.12898865342140198,0.8839276432991028,13.231845595745993,13.127971230691186
20,920,24170,1.210268259048462,1.5972368717193604,1.0748625993728638,1.4185261726379395,-0.12901395559310913,0.8768512010574341,11.188069972359425,11.18874114701886
21,920,24250,1.2200276851654053,1.608535647392273,1.0844173431396484,1.4303451776504517,-0.14040133357048035,0.874774694442749,11.115349567446206,11.077806701436817
22,1000,23290,1.2434320449829102,1.6361788511276245,1.0993090867996216,1.4234263896942139,-0.1412096917629242,0.8926441669464111,11.590738614531155,13.003007665499743
23,1000,23370,1.2338576316833496,1.6237568855285645,1.0887418985366821,1.4105371236801147,-0.1361626237630844,0.8941139578819275,11.761140784831582,13.13126144367619
24,1000,23450,1.225994348526001,1.6162965297698975,1.0835485458374023,1.4058959484100342,-0.1320706456899643,0.8943750858306885,11.618797660842368,13.01744930367553
25,1000,23530,1.3944494724273682,1.8195744752883911,1.1877464056015015,1.544033408164978,-0.1246870756149292,0.8965026140213013,14.82327405280962,15.143159615917428
26,1000,23610,1.2055041790008545,1.5938639640808105,1.063700795173645,1.3834019899368286,-0.11589709669351578,0.8963644504547119,11.762993965291676,13.204512987741486
27,1000,23690,1.2333024740219116,1.6236287355422974,1.0896464586257935,1.4121941328048706,-0.135912224650383,0.8938302993774414,11.648076479376776,13.022349143556326
