center_index,LAMBX,LAMBY,existing_cells_5x5,missing_cells_5x5,complete_5x5
0,600,24010,5,20,False
1,760,23610,6,19,False
2,760,23930,13,12,False
3,760,24010,15,10,False
4,760,24090,14,11,False
5,760,24170,11,14,False
6,840,23530,10,15,False
7,840,23610,11,14,False
8,840,23850,14,11,False
9,840,23930,17,8,False
10,840,24010,19,6,False
11,840,24090,18,7,False
12,840,24170,14,11,False
13,920,23530,15,10,False
14,920,23610,16,9,False
15,920,23770,19,6,False
16,920,23850,19,6,False
17,920,23930,22,3,False
18,920,24010,24,1,False
19,920,24090,23,2,False
20,920,24170,18,7,False
21,920,24250,13,12,False
22,1000,23290,9,16,False
23,1000,23370,14,11,False
24,1000,23450,19,6,False
25,1000,23530,19,6,False
26,1000,23610,20,5,False
27,1000,23690,22,3,False
28,1000,23770,22,3,False
29,1000,23850,22,3,False
30,1000,23930,24,1,False
31,1000,24010,25,0,True
32,1000,24090,24,1,False
33,1000,24170,19,6,False
34,1000,24250,14,11,False
35,1080,23290,11,14,False
36,1080,23370,16,9,False
37,1080,23450,21,4,False
38,1080,23530,22,3,False
39,1080,23610,23,2,False
40,1080,23690,24,1,False
41,1080,23770,24,1,False
42,1080,23850,24,1,False
43,1080,23930,25,0,True
44,1080,24010,25,0,True
45,1080,24090,25,0,True
46,1080,24170,21,4,False
47,1080,24250,16,9,False
48,1160,23290,13,12,False
49,1160,23370,18,7,False
50,1160,23450,23,2,False
51,1160,23530,25,0,True
52,1160,23610,25,0,True
53,1160,23690,25,0,True
54,1160,23770,25,0,True
55,1160,23850,25,0,True
56,1160,23930,25,0,True
57,1160,24010,25,0,True
58,1160,24090,25,0,True
59,1160,24170,22,3,False
60,1160,24250,17,8,False
61,1240,23370,18,7,False
62,1240,23450,23,2,False
63,1240,23530,25,0,True
64,1240,23610,25,0,True
65,1240,23690,25,0,True
66,1240,23770,25,0,True
67,1240,23850,25,0,True
68,1240,23930,25,0,True
69,1240,24010,25,0,True
70,1240,24090,25,0,True
71,1240,24170,23,2,False
72,1240,24250,18,7,False
73,1240,24330,13,12,False
74,1320,23370,18,7,False
75,1320,23450,23,2,False
76,1320,23530,25,0,True
77,1320,23610,25,0,True
78,1320,23690,25,0,True
79,1320,23770,25,0,True
80,1320,23850,25,0,True
81,1320,23930,25,0,True
82,1320,24010,25,0,True
83,1320,24090,25,0,True
84,1320,24170,24,1,False
85,1320,24250,19,6,False
86,1320,24330,14,11,False
87,1400,23290,14,11,False
88,1400,23370,19,6,False
89,1400,23450,23,2,False
90,1400,23530,25,0,True
91,1400,23610,25,0,True
92,1400,23690,25,0,True
93,1400,23770,25,0,True
94,1400,23850,25,0,True
95,1400,23930,25,0,True
96,1400,24010,25,0,True
97,1400,24090,25,0,True
98,1400,24170,24,1,False
99,1400,24250,19,6,False
100,1400,24330,14,11,False
