group,model,number_of_observations,MAE_C,RMSE_C,BIAS_C,R2
ensemble_test,Persistance,2162,1.7561517117021277,2.2382987941936703,-0.001202581193339504,0.8842307405637838
ensemble_test,TCN,2162,1.5849680000740054,1.994876159072071,-0.09954145723404255,0.9080421065885588
ensemble_test,ConvLSTM,2162,1.5003320845143386,1.9017844612341201,-0.11817577268270121,0.9164243577064413
DJF_hiver,Persistance,512,2.1205078069335936,2.6327304332135486,-0.029492186972656258,0.6014254507953288
DJF_hiver,TCN,512,1.8405180292382812,2.285566973862869,-0.3040172846289063,0.6996105470476148
DJF_hiver,ConvLSTM,512,1.7722118787695313,2.2137296363871495,-0.10089831978515622,0.7181967907854254
MAM_printemps,Persistance,552,1.6268115997826087,2.0688248455010214,-0.09746376108695652,0.7646315689046359
MAM_printemps,TCN,552,1.4978090577536232,1.8584581684679242,-0.29909673210144927,0.8100644117014677
MAM_printemps,ConvLSTM,552,1.416829711014493,1.7771126321589217,-0.14621557268115942,0.826327652768323
JJA_ete,Persistance,552,1.6052536231884058,2.043179704192278,-0.005978231884057962,0.6439598696389706
JJA_ete,TCN,552,1.4200760579710143,1.798269206644343,-0.08660866666666667,0.72419938221633
JJA_ete,ConvLSTM,552,1.395199246376812,1.7582986716413427,-0.22348185507246382,0.7363236880444886
SON_automne,Persistance,546,1.6978021986630036,2.188807692090009,0.1274725262087912,0.7928000952283866
SON_automne,TCN,546,1.600152017051282,2.024382109324304,0.280874724010989,0.822760988183998
SON_automne,ConvLSTM,546,1.4360906599084249,1.8459550073278403,0.0004338815201465073,0.8526274623350842
extremes_froids_10pct,Persistance,219,2.0433789867579906,2.5800693742363356,1.0579908404566212,-0.2996896739355559
extremes_froids_10pct,TCN,219,1.9635124646575342,2.44298837996587,1.383958648675799,-0.16525158861906886
extremes_froids_10pct,ConvLSTM,219,1.8498704599086757,2.314616970050241,1.33347170803653,-0.04600838753468528
extremes_chauds_10pct,Persistance,221,1.6090497737556562,2.0184219269303596,-0.7475112398190047,-0.3701440226280217
extremes_chauds_10pct,TCN,221,1.6126243619909502,1.9924107740345194,-1.292986352941176,-0.3350578126152177
extremes_chauds_10pct,ConvLSTM,221,1.6314931402714932,2.0077568477829058,-1.2945700633484163,-0.3557029501633415
