feature_set,seed,number_of_features,features,MAE_C,RMSE_C,BIAS_C,R2,best_epoch,best_validation_loss,duration_seconds
t_only,41,1,T,1.1559818587184063,1.527966311905062,-0.03354974459102041,0.8571293682304245,12,0.11580911367676534,6.4176915269345045
t_only,42,1,T,1.1544088779170683,1.5190536624487017,-0.027650620516089793,0.858791240088681,10,0.11491757041047647,5.151829616166651
t_only,43,1,T,1.1623879634705436,1.5315589428551062,0.007417097453382917,0.8564567292120385,9,0.11519177458673537,5.533869479782879
t_calendar,41,3,"T, DOY_SIN, DOY_COS",1.1508874796144837,1.5083244077474784,-0.043465332010076844,0.8607789436809596,7,0.11437837043083249,5.136203984729946
t_calendar,42,3,"T, DOY_SIN, DOY_COS",1.1448709155320018,1.5113411239547676,-0.1370635628148872,0.8602214901058087,25,0.11412314306608454,9.272033823654056
t_calendar,43,3,"T, DOY_SIN, DOY_COS",1.1505926178077324,1.507043237401908,-0.07982489491479469,0.8610153518912229,10,0.1135992265131009,5.489414919167757
temperature_family,41,5,"T, TINF_H, TSUP_H, DOY_SIN, DOY_COS",1.1076484436684466,1.4360320221035148,-0.04499386461877249,0.873804561934403,10,0.10724354565336659,5.262587790377438
temperature_family,42,5,"T, TINF_H, TSUP_H, DOY_SIN, DOY_COS",1.1040457298532886,1.4460574565108613,-0.16551667336067813,0.8720363835922403,28,0.10661569879679479,9.22627613786608
temperature_family,43,5,"T, TINF_H, TSUP_H, DOY_SIN, DOY_COS",1.101571525940732,1.4315235950074334,-0.06810795169092791,0.8745957000490988,13,0.10638978789107549,6.385624728165567
meteo_core,41,9,"T, PRETOT, FF, Q, SSI, HU, ETP, DOY_SIN, DOY_COS",1.1768927644734908,1.533824082109412,-0.13246351077973456,0.8560318210619469,13,0.11987934562548726,6.300321379676461
meteo_core,42,9,"T, PRETOT, FF, Q, SSI, HU, ETP, DOY_SIN, DOY_COS",1.155673982036213,1.5041808020370053,-0.045178155784359915,0.8615428175195283,11,0.11348083880779535,5.860348063521087
meteo_core,43,9,"T, PRETOT, FF, Q, SSI, HU, ETP, DOY_SIN, DOY_COS",1.1418532403280732,1.5029344167843721,-0.12626084831442466,0.8617721775708771,13,0.11651331237321207,6.364734536968172
full_without_extremes,41,12,"T, PRETOT, FF, Q, SSI, HU, ETP, SWI, SSWI_10J, DRAINC, DOY_SIN, DOY_COS",1.1648932460499075,1.5150908952474438,-0.0753025342533701,0.8595270239113211,9,0.11613194085226629,5.5036006066948175
full_without_extremes,42,12,"T, PRETOT, FF, Q, SSI, HU, ETP, SWI, SSWI_10J, DRAINC, DOY_SIN, DOY_COS",1.1530407893227606,1.508227109210538,-0.08333907449388812,0.8607969047616275,19,0.11544431458463938,7.946137326769531
full_without_extremes,43,12,"T, PRETOT, FF, Q, SSI, HU, ETP, SWI, SSWI_10J, DRAINC, DOY_SIN, DOY_COS",1.1804221335877763,1.5475562514027446,-0.21560954165392512,0.8534424167782524,7,0.12214986653804559,4.940293567255139
full,41,14,"T, PRETOT, FF, Q, SSI, HU, ETP, SWI, SSWI_10J, DRAINC, TINF_H, TSUP_H, DOY_SIN, DOY_COS",1.1691308590574025,1.5080068980426196,-0.09777702257436917,0.860837550945672,8,0.11602739034042156,5.20810133125633
full,42,14,"T, PRETOT, FF, Q, SSI, HU, ETP, SWI, SSWI_10J, DRAINC, TINF_H, TSUP_H, DOY_SIN, DOY_COS",1.1099025698087481,1.440002772427935,-0.13378245735697786,0.8731057149060839,17,0.10676630783941612,7.247184042818844
full,43,14,"T, PRETOT, FF, Q, SSI, HU, ETP, SWI, SSWI_10J, DRAINC, TINF_H, TSUP_H, DOY_SIN, DOY_COS",1.1404822540988975,1.4829690647759044,-0.20355111774088167,0.8654202894078686,12,0.1120295653680804,6.1214245073497295
