rank_advanced,feature,importance_baseline,importance_advanced,importance_change
1,T_lag_12,0.8341546,0.67583305,-0.1583215499999999
2,T_lag_24,0.0,0.21041064,0.21041064
3,T_roll_12,0.037759956,0.012442722,-0.0253172339999999
4,T_roll_36,0.0,0.011703338,0.011703338
5,EVAP_lag_12,0.0,0.008406671,0.008406671
6,ETP_lag_1,0.0,0.008178019,0.008178019
7,EVAP_lag_1,0.0,0.0060245832,0.0060245832
8,month_cos,0.05318229,0.0056060976,-0.0475761924
9,T_roll_3,0.013144958,0.004571457,-0.008573501
10,T_roll_24,0.0,0.004386435,0.004386435
11,T_lag_1,0.015868347,0.004222429,-0.011645918
12,PRENEI_lag_1,0.0,0.004070567,0.004070567
13,LAMBX,0.007852496,0.004034946,-0.00381755
14,month_sin,0.020929717,0.0037018296,-0.0172278874
15,PRENEI_roll_3,0.0,0.003507162,0.003507162
16,T_lag_2,0.0066730827,0.0030270638,-0.0036460189
17,ETP_lag_12,0.0,0.002661323,0.002661323
18,SWI_roll_3,0.0,0.0026411393,0.0026411393
19,PE_lag_12,0.0,0.0025605902,0.0025605902
20,DRAINC_lag_12,0.0,0.002548453,0.002548453
