indicator,value
Baseline_MAE_C,1.4226543846582962
Advanced_MAE_C,1.3766443463880491
MAE_improvement_C,0.046010038270247
MAE_improvement_percent,3.234098089206544
Baseline_RMSE_C,1.799813102950451
Advanced_RMSE_C,1.719502993993558
RMSE_improvement_C,0.0803101089568929
RMSE_improvement_percent,4.462136030971205
Baseline_R2,0.9200597394229058
Advanced_R2,0.927034659445282
R2_gain,0.0069749200223762
Baseline_Bias_C,0.1714176092700704
Advanced_Bias_C,0.1368075002621051
Bias_improvement_percent,20.190521356202503
Advanced_better_prediction_percent,51.22058617686398
Advanced_better_years,17.0
Total_test_years,26.0
Advanced_better_gridpoints,7366.0
Total_gridpoints,9892.0
Advanced_better_gridpoints_percent,74.46421350586333
