feature,importance_baseline,importance_advanced,importance_change
T_lag_12,0.8341546,0.67583305,-0.15832154999999992
T_lag_24,0.0,0.21041064,0.21041064
T_roll_12,0.037759956,0.012442722,-0.025317233999999997
T_roll_36,0.0,0.011703338,0.011703338
EVAP_lag_12,0.0,0.008406671,0.008406671
ETP_lag_1,0.0,0.008178019,0.008178019
EVAP_lag_1,0.0,0.0060245832,0.0060245832
month_cos,0.05318229,0.0056060976,-0.0475761924
T_roll_3,0.013144958,0.004571457,-0.008573501
T_roll_24,0.0,0.004386435,0.004386435
T_lag_1,0.015868347,0.004222429,-0.011645918000000002
PRENEI_lag_1,0.0,0.004070567,0.004070567
LAMBX,0.007852496,0.004034946,-0.0038175500000000003
month_sin,0.020929717,0.0037018296,-0.0172278874
PRENEI_roll_3,0.0,0.003507162,0.003507162
T_lag_2,0.0066730827,0.0030270638,-0.0036460189000000003
ETP_lag_12,0.0,0.002661323,0.002661323
SWI_roll_3,0.0,0.0026411393,0.0026411393
PE_lag_12,0.0,0.0025605902,0.0025605902
DRAINC_lag_12,0.0,0.002548453,0.002548453
T_change_lag_1,0.005557759,0.0024518196,-0.0031059394
PRENEI_lag_12,0.0,0.0022613546,0.0022613546
ETP_roll_3,0.0,0.002258267,0.002258267
DRAINC_lag_1,0.0,0.0018348481,0.0018348481
PE_lag_1,0.0,0.0017274068,0.0017274068
DRAINC_roll_3,0.0,0.0016378001,0.0016378001
PE_roll_3,0.0,0.0015464213,0.0015464213
EVAP_roll_3,0.0,0.0015376072,0.0015376072
SWI_lag_12,0.0,0.00151383,0.00151383
LAMBY,0.0048767957,0.0014184426,-0.0034583531000000004
SWI_lag_1,0.0,0.0012736738,0.0012736738
