feature,importance
T_lag_12,0.67583305
T_lag_24,0.21041064
T_roll_12,0.012442722
T_roll_36,0.011703338
EVAP_lag_12,0.008406671
ETP_lag_1,0.008178019
EVAP_lag_1,0.0060245832
month_cos,0.0056060976
T_roll_3,0.004571457
T_roll_24,0.004386435
T_lag_1,0.004222429
PRENEI_lag_1,0.004070567
LAMBX,0.004034946
month_sin,0.0037018296
PRENEI_roll_3,0.003507162
T_lag_2,0.0030270638
ETP_lag_12,0.002661323
SWI_roll_3,0.0026411393
PE_lag_12,0.0025605902
DRAINC_lag_12,0.002548453
T_change_lag_1,0.0024518196
PRENEI_lag_12,0.0022613546
ETP_roll_3,0.002258267
DRAINC_lag_1,0.0018348481
PE_lag_1,0.0017274068
DRAINC_roll_3,0.0016378001
PE_roll_3,0.0015464213
EVAP_roll_3,0.0015376072
SWI_lag_12,0.00151383
LAMBY,0.0014184426
SWI_lag_1,0.0012736738
