LAMBX,LAMBY,model,order,seasonal_order,train_n,test_n,rmse,mae,bias,aic,bic,model_file,elapsed_seconds
760,23610,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.1674511054230956,0.9690421711848393,-0.37273876935446165,1357.4262967474388,1377.4457320829715,results_sarima/all_9892_best_model/models/sarima_lambx_760_lamby_23610.pkl,0.35
600,24010,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.0818416979033623,0.9242717012297507,-0.3858609611628315,1319.3077420174232,1339.327177352956,results_sarima/all_9892_best_model/models/sarima_lambx_600_lamby_24010.pkl,0.417
920,23850,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.1706206143338698,0.9701685611683647,-0.3882512222290513,1355.0894775623478,1375.1089128978806,results_sarima/all_9892_best_model/models/sarima_lambx_920_lamby_23850.pkl,0.427
760,24010,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.108954613295979,0.9330593232579781,-0.444428894309312,1312.1768512825279,1332.1962866180606,results_sarima/all_9892_best_model/models/sarima_lambx_760_lamby_24010.pkl,0.443
760,23930,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.1641869587353524,0.969431029763412,-0.3533122918117068,1360.3143468829726,1380.3337822185053,results_sarima/all_9892_best_model/models/sarima_lambx_760_lamby_23930.pkl,0.454
920,23930,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.1637667722081328,0.9685043651936723,-0.3558571155046811,1360.3566187748484,1380.3760541103811,results_sarima/all_9892_best_model/models/sarima_lambx_920_lamby_23930.pkl,0.466
840,23530,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.1637477457465575,0.9702184012199194,-0.34472176581931185,1362.1688997729073,1382.18833510844,results_sarima/all_9892_best_model/models/sarima_lambx_840_lamby_23530.pkl,0.479
840,23850,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.1641869587353524,0.969431029763412,-0.3533122918117068,1360.3143468829726,1380.3337822185053,results_sarima/all_9892_best_model/models/sarima_lambx_840_lamby_23850.pkl,0.478
920,23610,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.1764885110390029,0.9706183889059236,-0.4144363473927622,1350.5731116308568,1370.5925469663896,results_sarima/all_9892_best_model/models/sarima_lambx_920_lamby_23610.pkl,0.479
920,23770,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.164724444105911,0.9689942775899842,-0.357221769738977,1360.2134620298868,1380.2328973654196,results_sarima/all_9892_best_model/models/sarima_lambx_920_lamby_23770.pkl,0.494
