LAMBX,LAMBY,order,seasonal_order,ar.L1,ma.L1,ma.L2,ma.S.L12,sigma2,source_model
10040,18810,"(1, 0, 2)","(0, 1, 1, 12)",0.5828210927358218,-0.3993459499649454,-0.016931465962168307,-0.9035159266107912,1.4370375187283386,sarima_lambx_10040_lamby_18810.pkl
10040,18730,"(1, 0, 2)","(0, 1, 1, 12)",0.8479702986640715,-0.6523670741839024,-0.08447045714744308,-0.8884092420188057,1.2761074782204669,sarima_lambx_10040_lamby_18730.pkl
10040,18650,"(1, 0, 2)","(0, 1, 1, 12)",0.7344515811537722,-0.5378711567264306,-0.053798155122702654,-0.8896695399363121,1.1206342180416602,sarima_lambx_10040_lamby_18650.pkl
10040,18970,"(1, 0, 2)","(0, 1, 1, 12)",0.40218691502286325,-0.2525555358416928,0.03979606621946713,-0.9033906994075618,1.9580713340120277,sarima_lambx_10040_lamby_18970.pkl
10040,19050,"(1, 0, 2)","(0, 1, 1, 12)",0.36659487855756395,-0.2419096903897771,0.06031954185137942,-1.1013971071819177,1.749388990183164,sarima_lambx_10040_lamby_19050.pkl
10040,18890,"(1, 0, 2)","(0, 1, 1, 12)",0.9871255228503125,-0.8243804101604348,-0.1233151847521071,-0.9247375822919505,1.7511439071451689,sarima_lambx_10040_lamby_18890.pkl
10040,19130,"(1, 0, 2)","(0, 1, 1, 12)",0.2456711358028844,-0.15651754371414747,0.09243250154343054,-1.0742259090930284,2.179993204389666,sarima_lambx_10040_lamby_19130.pkl
10040,19210,"(1, 0, 2)","(0, 1, 1, 12)",0.33086112794113465,-0.22094149003086064,0.07227946029966612,-1.0942257692497745,1.893997485982549,sarima_lambx_10040_lamby_19210.pkl
10040,21210,"(1, 0, 2)","(0, 1, 1, 12)",0.2679949827180579,-0.19364536811100885,0.05672755099715596,-1.0000301979985502,3.1613693020643945,sarima_lambx_10040_lamby_21210.pkl
10040,21290,"(1, 0, 2)","(0, 1, 1, 12)",0.4609386154528875,-0.38398559843005164,0.037314556629584994,-1.019855944965279,3.043633047503474,sarima_lambx_10040_lamby_21290.pkl
10040,21370,"(1, 0, 2)","(0, 1, 1, 12)",0.5461105260447888,-0.46782060157850885,0.02788013177024106,-1.0290230460458258,2.959388868709908,sarima_lambx_10040_lamby_21370.pkl
10040,21450,"(1, 0, 2)","(0, 1, 1, 12)",0.6840626800584443,-0.5965127204972241,0.008773278950044993,-0.9341196736257646,3.031515199906941,sarima_lambx_10040_lamby_21450.pkl
10040,21530,"(1, 0, 2)","(0, 1, 1, 12)",0.7261460201941734,-0.6328802624095826,-0.018819877540039293,-1.071724999578311,2.509836214907802,sarima_lambx_10040_lamby_21530.pkl
