order,seasonal_order,aic,bic
"(1, 0, 2)","(0, 1, 1, 12)",1319.3077413534338,1339.3271766889666
"(2, 0, 2)","(0, 1, 1, 12)",1320.3093029871106,1344.3326253897499
"(1, 0, 2)","(1, 1, 1, 12)",1320.9255136945285,1344.9488360971677
"(2, 0, 2)","(1, 1, 1, 12)",1321.9532088969377,1349.9804183666834
"(0, 0, 2)","(0, 1, 1, 12)",1322.5629901841767,1338.5785384526027
"(2, 1, 2)","(0, 1, 1, 12)",1323.0322015471897,1347.0406908149566
"(0, 0, 2)","(1, 1, 1, 12)",1324.5540978365907,1344.5735331721235
"(1, 1, 1)","(0, 1, 1, 12)",1325.8142207374176,1341.8297690058437
"(0, 1, 2)","(0, 1, 1, 12)",1326.2570760270164,1342.262735538861
"(0, 1, 1)","(0, 1, 1, 12)",1326.878928486062,1338.8905896873816
"(2, 1, 1)","(0, 1, 1, 12)",1326.9922549066646,1347.0116902421973
"(2, 1, 2)","(1, 1, 1, 12)",1327.7608881414164,1355.7707922871446
"(1, 1, 1)","(1, 1, 1, 12)",1327.8145543751953,1347.833989710728
"(1, 0, 1)","(0, 1, 1, 12)",1327.9370085037926,1343.9624211421997
"(2, 1, 1)","(1, 1, 1, 12)",1327.9715588976828,1351.994881300322
"(0, 1, 2)","(1, 1, 1, 12)",1328.2253380174827,1348.2324124072884
"(2, 0, 1)","(0, 1, 1, 12)",1328.428079143087,1348.4598449410955
"(1, 0, 1)","(1, 1, 1, 12)",1328.733553034877,1348.7653188328857
"(0, 1, 1)","(1, 1, 1, 12)",1328.8789657860764,1344.8945140545025
"(2, 0, 1)","(1, 1, 1, 12)",1329.443731097802,1353.4818500554122
"(1, 1, 2)","(0, 1, 1, 12)",1331.0086207218874,1351.015695111693
"(2, 0, 0)","(1, 1, 1, 12)",1332.5318494529636,1352.5636152509721
"(1, 1, 2)","(1, 1, 1, 12)",1333.00857335873,1357.017062626497
"(1, 2, 2)","(0, 1, 1, 12)",1335.6179870345795,1355.612669844313
"(0, 2, 2)","(0, 1, 1, 12)",1336.5719864765113,1352.567732724298
"(2, 2, 2)","(0, 1, 1, 12)",1336.9191960796252,1360.9128154513053
"(2, 0, 0)","(0, 1, 1, 12)",1337.35930219703,1353.3945549388004
"(1, 2, 2)","(1, 1, 1, 12)",1337.6204672354875,1361.6140866071676
"(0, 2, 2)","(1, 1, 1, 12)",1338.572957790114,1358.5676405998474
"(2, 2, 2)","(1, 1, 1, 12)",1338.9850236385814,1366.9775795722082
"(1, 0, 0)","(0, 1, 1, 12)",1339.9860589976993,1352.0124985540272
"(0, 0, 1)","(0, 1, 1, 12)",1341.0600602054315,1353.0791196842367
"(1, 0, 0)","(1, 1, 1, 12)",1341.9802155659322,1358.0154683077026
"(0, 0, 1)","(1, 1, 1, 12)",1342.5566101187244,1358.5820227571314
"(0, 0, 0)","(0, 1, 1, 12)",1354.4778387395268,1362.495465110412
"(0, 0, 0)","(1, 1, 1, 12)",1359.1214372015002,1371.147876757828
"(0, 0, 2)","(1, 0, 1, 12)",1368.4605080645974,1388.6259391735914
"(1, 0, 2)","(1, 0, 1, 12)",1370.1981105076238,1394.3966278384166
"(2, 0, 2)","(1, 0, 1, 12)",1372.1387153841413,1400.370318936733
"(1, 1, 2)","(1, 0, 1, 12)",1372.3691413557253,1396.5532529172929
"(1, 0, 1)","(1, 0, 1, 12)",1372.966522945117,1393.1439301077407
"(2, 0, 0)","(1, 0, 1, 12)",1373.3500950628045,1393.5275022254282
"(2, 0, 1)","(1, 0, 1, 12)",1373.8088234422908,1398.0217120374393
"(0, 1, 2)","(1, 0, 1, 12)",1374.8454983631232,1394.9989246644295
"(1, 1, 1)","(1, 0, 1, 12)",1375.3228015322688,1395.4882326412628
"(2, 1, 2)","(1, 0, 1, 12)",1375.5408429581917,1403.7556397800206
"(0, 1, 1)","(1, 0, 1, 12)",1376.7273436724809,1392.859688559676
"(2, 1, 1)","(1, 0, 1, 12)",1378.3329182785565,1402.5314356093493
"(1, 0, 0)","(1, 0, 1, 12)",1379.9574493674038,1396.1089330470923
"(0, 0, 1)","(1, 0, 1, 12)",1381.0292069046463,1397.1711326347454
"(1, 2, 2)","(1, 0, 1, 12)",1384.8559172909486,1409.0255884123328
"(0, 2, 2)","(1, 0, 1, 12)",1385.9399170508143,1406.0813096519678
"(2, 2, 2)","(1, 0, 1, 12)",1387.5946094571798,1415.7925590987948
"(0, 0, 0)","(1, 0, 1, 12)",1393.0108050870963,1405.1244178468628
"(2, 1, 0)","(0, 1, 1, 12)",1414.6578643002788,1430.6832769386858
"(2, 1, 0)","(1, 1, 1, 12)",1414.6963734413066,1434.7158087768394
"(2, 2, 1)","(0, 1, 1, 12)",1416.8410800832953,1436.848154473101
"(2, 2, 1)","(1, 1, 1, 12)",1425.5013786602935,1449.5098679280604
"(1, 1, 0)","(0, 1, 1, 12)",1435.054056384616,1447.0731158634212
"(1, 2, 1)","(0, 1, 1, 12)",1435.1761368041211,1451.1817963159658
"(1, 1, 0)","(1, 1, 1, 12)",1439.805974324643,1455.8313869630501
"(2, 1, 1)","(1, 1, 0, 12)",1440.493926850323,1460.5133621858558
"(2, 0, 0)","(1, 1, 0, 12)",1441.7139443254453,1457.7393569638523
"(2, 1, 2)","(1, 1, 0, 12)",1442.2822879277533,1466.3056103303925
"(2, 0, 2)","(1, 1, 0, 12)",1442.495732047344,1466.5338510049544
"(1, 0, 1)","(1, 1, 0, 12)",1443.236505970519,1459.2717587122893
"(2, 0, 1)","(1, 1, 0, 12)",1443.4746012600156,1463.5063670580241
"(1, 2, 1)","(1, 1, 1, 12)",1444.6341308025094,1464.641205192315
"(1, 0, 2)","(1, 1, 0, 12)",1447.7077387014256,1467.7518046286386
"(0, 0, 2)","(1, 1, 0, 12)",1448.42436332235,1464.4694320199667
"(1, 0, 0)","(1, 1, 0, 12)",1453.1874835760846,1465.2139231324124
"(1, 1, 1)","(1, 1, 0, 12)",1455.7767425531997,1471.8021551916067
"(2, 2, 2)","(1, 1, 0, 12)",1456.0162339280557,1480.0247231958226
"(2, 1, 0)","(1, 0, 1, 12)",1457.4683654745088,1477.6337965835028
"(0, 0, 1)","(1, 1, 0, 12)",1457.8894797840767,1469.9232813072892
"(1, 1, 2)","(1, 1, 0, 12)",1458.3757007886795,1478.407466586688
"(0, 1, 1)","(1, 1, 0, 12)",1458.8626725141498,1470.8891120704777
"(0, 1, 2)","(1, 1, 0, 12)",1460.2841700142026,1476.319422755973
"(0, 0, 0)","(1, 1, 0, 12)",1462.100456471091,1470.1229908198993
"(1, 2, 2)","(1, 1, 0, 12)",1465.6276274103334,1485.6470627458662
"(0, 2, 2)","(1, 1, 0, 12)",1468.4371311997822,1484.4625438381893
"(1, 1, 0)","(1, 0, 1, 12)",1483.2077858079379,1499.349711538037
"(1, 2, 1)","(1, 0, 1, 12)",1488.443990839728,1508.5974171410344
"(2, 1, 0)","(1, 1, 0, 12)",1522.8580002859776,1538.8735485544037
"(2, 2, 1)","(1, 1, 0, 12)",1529.596760948096,1549.6038353379017
"(0, 2, 1)","(0, 1, 1, 12)",1537.551683611225,1549.5559282451084
"(0, 1, 0)","(0, 1, 1, 12)",1537.6203706585438,1545.6330769777474
"(0, 1, 0)","(1, 1, 1, 12)",1543.6375336315773,1555.6565931103826
"(0, 2, 1)","(1, 1, 1, 12)",1548.4968913667303,1564.502550878575
"(1, 1, 0)","(1, 1, 0, 12)",1549.664636954899,1561.6836964337042
"(1, 2, 1)","(1, 1, 0, 12)",1555.7117448953575,1571.7272931637835
"(2, 1, 2)","(0, 0, 1, 12)",1564.4950796123353,1588.6791911739028
"(2, 1, 1)","(1, 0, 0, 12)",1569.9602605327868,1590.1256916417808
"(2, 1, 2)","(1, 0, 0, 12)",1571.127869274731,1595.3263866055238
"(1, 1, 2)","(1, 0, 0, 12)",1578.35576756484,1598.5331747274638
"(1, 1, 1)","(1, 0, 0, 12)",1578.5405886917276,1594.6825144218267
"(2, 0, 1)","(1, 0, 0, 12)",1580.076036730532,1600.2534438931557
"(1, 1, 2)","(0, 1, 0, 12)",1580.7526458241791,1596.875386865224
"(0, 1, 2)","(1, 0, 0, 12)",1582.2330744717933,1598.3845581514818
"(0, 0, 2)","(0, 1, 0, 12)",1583.4559918317832,1595.5552504971797
"(0, 1, 1)","(1, 0, 0, 12)",1583.9704276804464,1596.084040440213
"(1, 0, 2)","(0, 1, 0, 12)",1584.6797043592444,1600.8120492464395
"(2, 2, 2)","(1, 0, 0, 12)",1584.69999010209,1608.8841016636575
"(2, 0, 0)","(1, 0, 0, 12)",1585.7834411251624,1601.9253668552615
"(2, 0, 2)","(0, 1, 0, 12)",1585.8970052072377,1606.0624363162317
"(2, 0, 0)","(0, 1, 0, 12)",1586.077355436299,1598.1837997338732
"(1, 0, 1)","(0, 1, 0, 12)",1586.8982452808461,1599.0046895784203
"(2, 0, 1)","(0, 1, 0, 12)",1587.8813550019624,1604.0232807320615
"(2, 0, 2)","(1, 0, 0, 12)",1588.1121199400309,1612.3250085351794
"(0, 1, 0)","(1, 0, 1, 12)",1588.2188506748903,1600.3252949724645
"(0, 0, 1)","(0, 1, 0, 12)",1588.6672943407748,1596.7382572058243
"(2, 1, 2)","(0, 1, 0, 12)",1588.7786807364791,1608.9321070377855
"(0, 1, 2)","(0, 1, 0, 12)",1589.468135645859,1601.5601914266429
"(1, 2, 2)","(1, 0, 0, 12)",1589.8179072649868,1609.9833383739808
"(2, 1, 1)","(0, 1, 0, 12)",1590.2124845656926,1606.3448294528878
"(0, 2, 1)","(1, 0, 1, 12)",1590.5111984798018,1606.6339395208468
"(1, 0, 1)","(1, 0, 0, 12)",1591.0531214707253,1607.2046051504137
"(1, 0, 2)","(1, 0, 0, 12)",1592.3018736013769,1612.4912282009875
"(0, 1, 1)","(0, 1, 0, 12)",1592.461336418422,1600.5275088620197
"(1, 1, 1)","(0, 1, 0, 12)",1592.5685509124453,1604.6678095778416
"(2, 1, 2)","(0, 0, 0, 12)",1593.0297238288265,1613.3253398067354
"(0, 0, 0)","(0, 1, 0, 12)",1593.5324626802876,1597.5703336002098
"(1, 0, 0)","(0, 1, 0, 12)",1593.8851817149482,1601.9609235547925
"(1, 0, 0)","(1, 0, 0, 12)",1594.2467134417518,1606.3603262015183
"(0, 0, 2)","(1, 0, 0, 12)",1594.8213023684784,1610.9823212135882
"(2, 2, 2)","(0, 1, 0, 12)",1596.8830539071846,1617.024446508338
"(0, 0, 0)","(1, 0, 0, 12)",1596.953083689722,1605.0335931122768
"(0, 2, 2)","(1, 0, 0, 12)",1597.2646155051925,1613.4065412352916
"(0, 0, 1)","(1, 0, 0, 12)",1597.3820100691123,1609.5027742029445
"(1, 2, 2)","(0, 1, 0, 12)",1599.1678882063716,1615.2810022872943
"(0, 2, 2)","(0, 1, 0, 12)",1599.4062036513333,1611.4910392120253
