LAMBX,LAMBY,best_order,best_seasonal_order,rmse,mae,bias,aic,bic,train_n,test_n,exog_vars
3880,19850,"(2, 0, 2)","(0, 1, 1, 12)",1.240936098096915,1.0193050994478174,-0.2616256660959217,1506.5220036746155,1550.5647614127874,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
7160,24250,"(2, 1, 2)","(0, 1, 1, 12)",1.3692455032659259,1.10039112796947,0.10493765947254968,1521.2002609325168,1565.2158245900894,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
4280,23850,"(0, 0, 2)","(1, 0, 1, 12)",1.122475120182967,0.9186465267053411,-0.15162559646276652,1508.5903612217385,1548.9212234397264,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
7240,20330,"(0, 0, 0)","(0, 1, 1, 12)",1.1362794451361549,0.847181191120796,-0.007299210278762032,1482.8544187992272,1510.9161110973255,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
8040,24410,"(0, 0, 2)","(0, 1, 1, 12)",1.382683058971027,1.028027666021913,0.22254019923896615,1550.260053873199,1586.2950374771578,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
9480,18810,"(1, 1, 2)","(1, 1, 1, 12)",1.4643549322792153,1.135237861871264,0.015624785358681328,1397.2055653269706,1441.2211289845432,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
6760,23530,"(1, 1, 0)","(1, 1, 1, 12)",1.3039979799542893,1.0594802302796078,-0.09728301578241988,1663.9063948507664,1699.963573287182,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
9400,18650,"(1, 1, 0)","(1, 1, 1, 12)",1.2449558518322492,0.937714860012958,0.17002707702816253,1509.037906538324,1545.0950849747396,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
8840,21610,"(2, 1, 2)","(1, 0, 1, 12)",1.4078429028419936,1.1274928635574901,0.05803459810757477,1636.0531853904135,1684.4214085135486,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
6600,23050,"(1, 0, 2)","(1, 1, 1, 12)",1.3165635934103956,1.0483627214303954,0.23733633639403295,1507.9833659158285,1552.0261236540005,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
8920,20890,"(1, 0, 0)","(0, 1, 1, 12)",1.2205235343313885,1.0059009018625564,0.015250437672049505,1541.740689681689,1573.8111951652297,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
11640,17610,"(0, 0, 0)","(0, 1, 1, 12)",1.0038910110582595,0.7697484857783615,-0.2175702457585668,1283.2412171874457,1311.302909485544,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
9240,22250,"(2, 1, 0)","(1, 1, 1, 12)",1.4440494441208176,1.206878664443978,-0.14880421273918,1652.1779433978436,1692.216814068909,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
6520,20810,"(0, 0, 0)","(1, 1, 1, 12)",1.1840113091942068,0.8508634051083165,-0.013940609105854262,1494.0931726652334,1526.1636781487741,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
